score,time_taken,attempts,avg_user_score,tasks_completed_today,account_age_days,previous_rewards,time_of_day,fraud
24,180,3,17,6,47,12,11,0
21,391,1,15,2,242,5,1,0
16,182,4,5,3,359,10,10,0
12,462,4,10,8,277,5,12,0
0,359,2,18,7,313,2,10,0
1,503,2,19,0,105,15,8,0
8,13,3,14,2,95,8,20,0
2,102,4,6,9,219,7,15,0
0,15,1,13,1,170,2,4,0
20,297,1,5,1,283,4,11,0
15,155,1,15,7,128,13,2,0
22,433,3,13,5,200,4,15,0
5,466,3,11,5,332,18,18,0
16,211,5,15,3,35,4,16,0
4,221,1,17,0,354,19,10,0
4,15,1,14,6,144,19,20,0
5,385,3,6,7,292,1,18,0
2,456,3,18,1,66,6,17,0
20,115,5,10,1,219,0,8,0
22,410,5,12,0,56,17,12,0
4,105,2,19,3,145,9,5,0
20,397,4,6,5,213,5,2,0
4,461,1,19,4,94,6,22,0
9,425,1,9,3,106,11,11,0
9,513,5,17,3,84,17,8,0
18,463,5,16,9,136,10,8,1
16,300,2,15,6,146,18,14,0
20,543,4,10,6,249,3,0,0
13,202,2,7,1,18,18,17,0
8,159,4,18,6,125,12,14,0
13,524,1,16,1,2,18,7,0
0,402,2,6,3,332,1,10,0
18,325,5,19,0,200,8,16,0
12,85,2,15,4,138,7,13,0
12,279,2,10,0,203,13,18,0
3,234,1,7,3,282,8,22,0
0,539,5,6,8,303,12,23,0
16,122,5,19,7,30,17,4,0
7,260,3,5,5,56,5,1,0
1,242,3,18,7,119,2,14,0
7,92,3,12,4,132,9,18,0
6,134,1,5,6,231,9,15,0
1,184,2,16,7,152,9,12,0
21,78,5,19,6,21,8,6,0
21,56,5,9,3,68,11,16,0
2,265,2,15,4,126,7,18,0
17,39,5,10,9,43,8,6,1
11,290,2,15,5,182,16,11,0
0,246,1,16,5,100,7,12,0
21,257,1,16,8,349,17,12,0
11,377,1,7,9,240,19,13,0
4,504,2,18,1,200,16,14,0
24,34,2,11,5,116,5,1,0
16,595,4,6,2,115,9,5,0
15,499,5,11,1,142,0,8,0
14,503,5,6,5,119,0,14,0
22,323,4,9,3,93,8,19,0
14,384,4,11,4,9,19,15,0
4,34,1,15,4,73,2,1,0
20,343,4,15,2,26,5,2,0
13,364,2,18,3,239,6,22,0
1,125,3,7,2,362,8,19,0
10,57,2,18,6,145,4,22,0
18,108,4,15,0,68,15,20,0
6,468,5,8,5,188,1,7,0
5,532,2,5,3,131,2,7,0
1,414,5,7,0,221,2,20,0
5,223,2,13,0,281,19,6,0
17,512,5,14,4,277,9,10,0
1,457,2,9,4,140,2,21,0
17,585,5,19,9,54,14,12,1
14,267,3,19,6,1,13,7,0
18,130,1,12,3,128,3,8,0
1,63,2,6,8,1,9,15,0
19,340,3,7,3,173,10,4,0
24,250,1,11,6,266,10,22,0
5,539,2,18,4,296,7,13,0
0,492,3,14,4,256,8,0,0
23,196,3,8,5,174,7,23,0
14,271,3,13,7,45,11,18,0
22,373,4,18,4,343,16,16,0
9,500,5,11,2,141,14,21,0
18,440,1,18,5,27,18,13,0
16,248,5,15,1,233,19,12,0
4,313,5,16,7,209,5,7,0
3,307,5,5,7,50,4,2,0
9,85,3,8,2,61,7,0,0
23,342,5,14,7,243,17,18,0
16,483,4,15,8,269,14,14,0
9,292,2,10,4,140,2,20,0
16,81,3,10,4,157,13,7,0
19,272,1,14,5,85,14,8,0
23,584,2,10,6,84,12,12,0
4,21,2,9,2,276,19,11,0
1,150,2,7,4,31,8,8,0
5,564,5,6,0,8,16,19,0
20,26,5,7,9,280,18,23,1
1,72,3,13,4,203,3,10,0
12,262,5,7,3,33,19,4,0
10,474,5,7,0,298,9,18,0
10,385,5,5,6,143,2,20,0
15,529,3,6,0,350,18,17,0
10,99,3,15,7,37,8,10,0
18,184,4,16,9,147,4,10,0
14,85,4,7,1,228,13,5,0
24,409,4,6,9,34,6,0,0
22,80,4,12,4,237,5,21,0
22,189,2,10,5,212,7,20,0
15,133,2,11,8,309,1,8,0
10,390,4,5,6,140,13,6,0
21,302,4,10,5,190,6,5,0
15,204,1,6,4,96,2,22,0
7,237,2,17,5,194,19,9,0
3,440,1,19,3,361,5,4,0
7,445,1,10,0,304,13,0,0
3,470,5,7,8,296,11,14,0
23,30,3,11,4,152,17,4,0
24,73,2,7,7,223,11,19,0
2,174,4,13,6,196,6,5,0
2,36,4,7,7,88,4,4,0
17,320,3,11,0,299,11,16,0
18,294,2,16,8,17,8,17,0
18,290,4,8,0,211,10,3,0
20,173,4,12,2,232,3,23,0
4,233,5,18,7,358,13,20,0
17,155,1,6,0,183,11,22,0
9,39,4,12,0,162,17,1,0
21,54,2,13,5,70,6,7,0
20,480,3,17,4,60,0,4,0
5,43,5,12,5,179,12,3,0
0,436,2,10,2,77,15,21,0
4,230,5,14,9,35,4,13,1
8,543,1,5,9,16,18,3,0
11,376,4,11,5,294,8,7,0
13,559,2,5,1,171,8,2,0
1,591,3,11,7,32,11,13,0
16,125,1,18,5,263,17,17,0
13,248,1,6,3,215,9,22,0
12,344,5,12,3,46,16,11,0
8,450,1,6,6,189,18,14,0
24,157,2,7,2,274,10,19,0
14,18,5,17,2,71,15,19,0
24,297,1,16,5,296,7,8,0
21,397,3,7,8,88,14,1,0
14,59,2,5,0,334,10,0,0
23,526,3,9,4,261,6,14,0
10,596,3,9,0,182,1,22,0
15,287,5,14,0,342,18,14,0
16,309,4,9,2,22,8,7,0
3,598,5,18,2,74,17,2,0
0,144,2,17,3,90,12,1,0
7,589,2,13,2,335,0,3,0
16,156,5,10,5,166,18,17,0
2,499,4,10,3,234,12,11,0
19,487,5,7,7,129,13,17,0
14,168,2,9,0,334,16,20,0
14,393,4,14,7,292,19,9,0
23,172,2,11,0,95,0,20,0
21,450,4,7,0,28,4,7,0
13,198,4,6,6,354,19,17,0
22,424,5,9,0,35,13,16,0
13,348,5,7,8,231,17,18,0
23,190,5,9,7,318,12,5,0
1,297,4,13,0,343,11,13,0
12,196,4,15,1,364,14,4,0
13,147,2,14,1,125,3,7,0
23,139,3,5,1,79,8,7,0
18,203,5,8,5,61,2,17,0
6,325,2,14,3,217,10,8,0
2,153,2,19,7,282,14,13,0
14,25,1,9,0,163,15,13,0
22,311,5,6,9,57,6,19,1
13,432,2,16,3,191,6,13,0
10,254,1,6,9,132,8,16,0
14,116,5,5,4,42,16,1,0
12,97,4,18,8,173,12,13,0
17,138,1,12,4,167,8,21,0
5,350,4,6,2,250,8,20,0
2,13,3,7,3,193,19,11,0
18,336,3,19,9,278,11,22,0
14,419,3,16,6,238,18,15,0
24,315,3,6,0,230,14,21,0
22,234,2,8,5,165,17,5,0
4,357,3,18,7,243,7,17,0
9,330,2,5,0,90,5,6,0
6,568,2,7,7,179,5,1,0
24,190,5,9,6,58,2,12,0
16,395,2,14,0,263,2,22,0
6,117,2,5,8,136,1,7,0
21,540,3,8,2,238,4,11,0
11,419,2,10,1,307,19,0,0
24,305,4,19,6,243,11,8,0
16,180,3,8,2,151,5,7,0
12,340,1,11,0,346,15,8,0
19,502,3,18,9,364,4,4,0
24,204,2,11,2,247,5,12,0
3,21,4,10,5,219,3,13,0
9,204,3,13,2,9,13,3,0
2,499,4,6,4,294,2,16,0
8,191,1,17,8,13,16,8,0
12,325,1,14,6,263,4,19,0
17,39,5,12,1,225,5,14,0
14,105,5,12,0,231,19,19,0
3,390,3,15,6,178,3,3,0
14,453,5,14,3,247,12,1,0
21,307,4,18,6,67,7,12,0
1,370,5,18,5,297,10,3,0
14,383,4,15,6,157,18,17,0
7,563,5,8,3,165,4,23,0
7,312,5,10,2,184,4,15,0
16,430,5,15,4,208,2,22,0
11,255,2,10,2,16,1,9,0
18,246,2,9,2,300,2,1,0
9,543,5,18,3,306,14,13,0
8,194,4,5,7,241,6,1,0
4,477,3,7,1,230,2,17,0
5,372,1,11,3,18,14,0,0
19,292,2,12,2,147,10,12,0
1,562,5,6,6,244,15,5,0
23,345,1,7,1,51,12,21,0
12,171,2,8,0,259,1,16,0
5,169,3,18,9,238,19,16,0
4,483,4,15,0,246,11,21,0
24,331,5,9,5,345,6,10,0
0,21,3,7,2,310,0,5,0
20,433,2,9,6,49,13,19,0
21,82,5,12,7,284,9,2,0
20,597,1,12,4,38,2,13,0
5,210,4,18,4,284,10,5,0
5,531,2,6,1,32,19,16,0
22,514,4,10,7,243,14,2,0
15,48,5,8,9,41,5,16,1
3,69,3,13,0,292,17,18,0
10,587,4,14,9,103,12,17,0
23,330,1,6,8,292,14,4,0
22,444,2,12,0,107,2,14,0
8,417,1,5,0,246,14,2,0
22,395,4,15,0,87,0,22,0
2,578,3,10,6,66,9,7,0
18,87,3,15,3,138,17,6,0
7,203,1,15,6,326,7,17,0
4,294,5,18,4,200,11,9,0
3,536,5,16,6,335,4,22,0
23,533,3,14,9,93,0,9,0
5,165,1,17,6,348,7,18,0
1,349,1,5,3,278,4,22,0
19,134,1,6,1,20,16,0,0
10,289,4,7,7,289,14,1,0
3,137,5,13,1,90,3,0,0
14,323,5,9,8,50,12,8,0
5,341,4,14,4,10,16,14,0
21,159,2,14,8,79,12,17,0
16,463,4,16,8,37,1,17,0
23,45,1,6,7,59,3,21,0
5,429,4,14,7,88,1,6,0
18,31,1,9,3,104,11,13,0
24,215,3,9,3,319,18,17,0
1,365,1,5,1,277,17,19,0
14,449,5,7,3,104,9,18,0
10,105,4,9,3,254,4,4,0
7,173,1,13,5,230,10,8,0
18,157,2,14,2,335,0,17,0
12,539,3,5,1,37,2,12,0
11,303,2,12,7,301,16,4,0
4,204,2,5,1,142,14,23,0
5,489,2,13,7,43,13,21,0
21,132,3,10,6,116,14,19,0
3,409,3,5,2,341,15,14,0
18,461,3,12,5,84,3,23,0
19,113,3,9,5,259,18,18,0
0,471,2,11,9,360,7,19,0
19,405,5,11,4,87,5,10,0
16,346,5,19,7,343,15,8,0
11,151,3,11,4,347,2,20,0
14,326,4,10,6,291,7,21,0
0,567,1,15,5,96,4,15,0
13,536,4,12,6,255,4,10,0
5,565,4,13,8,342,11,1,0
4,410,4,16,2,136,0,7,0
10,319,5,19,9,248,6,22,1
3,504,1,6,6,92,10,20,0
12,565,4,11,9,247,9,4,0
10,118,3,19,2,258,2,10,0
2,381,5,6,1,187,7,10,0
0,215,3,10,6,124,0,8,0
5,52,3,6,3,260,7,10,0
17,254,4,14,0,169,19,4,0
23,296,3,10,5,111,10,8,0
9,364,1,6,5,290,6,0,0
4,485,3,5,5,87,15,9,0
22,92,4,11,1,13,6,7,0
9,119,3,7,0,263,12,18,0
11,199,5,18,2,288,9,15,0
1,260,5,16,1,23,16,12,0
12,300,5,18,5,200,2,23,0
7,210,2,17,5,242,6,4,0
1,335,5,8,4,239,10,17,0
19,520,5,17,9,303,12,8,1
0,418,2,10,9,165,4,3,0
4,517,5,9,4,226,18,13,0
8,81,4,8,8,176,14,6,0
16,256,5,13,4,29,0,11,1
8,596,5,10,9,165,4,23,1
10,575,2,10,5,23,12,6,0
14,353,4,6,3,294,9,10,0
23,63,3,10,9,44,4,21,0
5,537,1,11,0,261,0,14,0
22,541,4,12,3,180,9,6,0
2,567,3,19,1,296,17,19,0
16,202,4,18,9,139,7,16,1
4,67,3,12,2,334,19,4,0
11,446,3,13,6,248,2,7,0
17,120,4,14,6,241,18,9,0
13,138,2,15,0,106,18,5,0
20,335,4,17,7,173,1,20,0
23,17,4,16,6,49,16,1,0
10,38,3,7,0,123,15,4,0
8,121,1,14,7,35,9,9,0
1,140,3,19,1,106,15,2,0
11,197,5,11,7,328,4,12,0
2,484,4,11,2,196,19,15,0
2,373,4,5,9,109,2,14,0
0,213,2,12,6,125,2,1,0
7,221,3,19,5,327,1,2,0
21,285,2,8,4,295,3,19,0
7,82,4,9,9,347,17,17,0
10,252,3,18,1,37,1,19,0
8,111,3,10,1,188,5,19,0
4,180,5,7,0,337,2,14,0
13,197,5,9,8,23,2,21,1
2,450,1,14,7,261,1,4,0
20,95,5,9,7,194,2,22,0
4,485,3,5,0,152,16,10,0
4,61,5,7,4,18,13,22,0
18,120,1,7,5,27,6,2,0
13,52,4,5,1,24,5,8,0
3,220,5,17,9,29,7,6,1
24,209,3,11,4,139,18,22,0
12,35,4,5,5,146,18,1,0
9,308,3,11,8,123,11,14,0
24,86,4,8,9,128,4,11,0
17,146,3,13,0,117,4,15,0
7,29,5,11,9,132,13,15,1
7,449,5,9,2,289,16,15,0
6,220,1,11,8,206,15,18,0
7,560,4,13,0,236,3,2,0
13,444,1,14,0,42,7,21,0
18,216,2,10,0,160,2,19,0
5,448,5,5,6,252,4,3,0
0,51,4,10,4,179,6,0,0
22,420,1,5,5,125,17,21,0
14,532,1,17,7,260,7,7,0
0,436,2,16,1,276,10,23,0
24,284,1,8,1,213,13,14,0
16,457,3,18,2,324,17,23,0
0,378,5,12,2,190,12,20,0
14,229,1,9,2,58,5,21,0
22,586,1,19,3,203,12,4,0
1,241,2,9,2,80,0,19,0
13,337,3,17,1,228,10,11,0
20,452,1,14,8,95,6,19,0
7,61,5,15,5,4,9,19,1
7,385,5,12,2,165,1,3,0
18,272,1,12,8,300,15,21,0
6,276,3,5,3,42,4,14,0
18,368,5,17,3,285,15,5,0
5,326,5,17,7,229,15,4,0
5,333,3,9,6,243,14,10,0
2,572,3,16,6,212,8,13,0
6,430,1,9,9,300,0,10,0
18,55,4,12,6,55,8,8,0
7,278,2,5,9,336,10,23,0
9,390,4,11,4,173,4,9,0
19,127,4,11,6,277,5,5,0
14,575,5,17,3,334,7,10,0
14,125,3,13,7,229,14,8,0
0,269,5,6,8,30,15,4,0
19,84,2,19,2,23,17,9,0
6,489,1,7,6,5,11,19,0
3,314,2,8,9,63,3,13,0
5,16,5,5,8,221,15,5,0
24,375,5,19,0,315,10,3,0
0,532,5,11,1,82,6,23,0
4,357,5,18,6,242,14,22,0
22,447,4,14,1,253,16,20,0
0,224,1,7,6,52,14,9,0
3,438,4,7,0,321,9,21,0
21,507,5,7,2,39,3,10,0
1,549,3,12,4,259,16,15,0
9,376,4,13,5,327,3,6,0
4,322,5,14,8,271,10,17,0
9,547,5,17,8,72,3,6,0
0,63,1,18,2,70,11,23,0
21,550,2,6,7,220,9,20,0
5,476,4,14,3,4,13,14,0
12,173,4,19,6,350,17,18,0
14,343,4,14,5,290,5,17,0
3,556,5,5,7,292,4,14,0
12,357,1,18,5,355,1,17,0
23,282,5,13,3,231,12,2,0
19,423,5,10,1,80,13,0,0
23,509,3,18,6,66,2,0,0
14,102,1,19,3,136,10,6,0
7,88,4,13,8,191,3,9,0
4,226,2,10,8,347,12,11,0
14,367,4,6,6,336,7,7,0
3,516,5,5,4,59,7,21,0
11,568,1,18,2,266,12,22,0
12,190,1,12,2,7,9,16,0
1,585,1,7,8,202,12,13,0
18,255,3,5,8,332,12,16,0
18,253,4,19,3,237,16,20,0
3,515,3,12,0,268,5,22,0
3,431,2,16,9,79,1,5,0
10,329,5,5,4,46,16,19,0
4,96,3,12,7,243,11,16,0
19,226,3,5,9,288,5,19,0
10,499,5,13,3,160,4,7,0
9,528,1,18,9,115,4,12,0
7,287,5,13,9,114,8,15,1
5,178,4,16,3,126,2,11,0
5,339,5,17,8,90,19,16,0
7,450,1,13,8,61,4,17,0
22,400,5,7,6,317,6,7,0
14,505,3,8,9,102,11,17,1
13,390,2,9,7,114,6,10,0
10,315,3,10,3,174,9,12,0
11,522,2,13,7,92,7,11,0
12,197,5,17,5,183,16,14,0
7,525,4,15,2,205,4,2,0
17,436,5,16,6,363,14,2,0
24,511,1,8,2,195,8,5,0
0,269,5,18,6,305,10,2,0
14,522,2,18,4,25,12,8,0
7,80,3,10,3,234,17,10,0
10,487,4,17,2,16,16,7,0
11,187,5,5,7,141,8,3,0
11,466,5,6,3,108,9,21,0
3,198,3,12,7,300,4,23,0
15,300,4,8,9,339,10,19,0
3,529,5,14,2,303,14,14,0
4,301,5,11,9,80,1,4,1
23,292,2,8,8,76,19,6,0
4,553,2,18,5,276,13,7,0
7,386,1,13,4,268,4,6,0
9,165,3,13,4,112,5,7,0
16,517,4,8,2,316,14,3,0
8,422,5,17,1,75,3,0,0
21,537,5,19,5,214,9,21,0
18,364,1,12,0,34,18,4,0
13,568,5,10,6,141,8,10,0
7,196,3,5,4,166,9,3,0
8,40,1,19,3,231,3,1,0
21,269,3,11,8,292,3,16,0
10,430,1,5,9,28,5,11,0
22,538,5,7,0,295,7,1,0
0,560,1,12,3,333,15,8,0
13,313,2,19,2,360,7,5,0
4,48,4,13,5,91,15,5,0
20,498,5,7,4,115,5,17,0
13,551,4,5,6,159,16,21,0
3,287,5,5,0,258,0,2,0
21,212,4,11,4,338,18,14,0
22,75,2,9,1,90,17,6,0
24,117,4,17,1,245,16,12,0
0,277,1,18,1,298,16,9,0
21,231,4,5,8,31,11,3,0
22,539,5,10,9,317,11,15,1
18,99,3,18,2,358,5,8,0
7,264,4,10,3,312,6,20,0
14,464,4,18,4,228,7,9,0
20,262,4,8,3,339,2,18,0
14,266,5,11,3,128,16,16,0
8,392,4,11,4,270,7,0,0
20,451,5,16,9,270,10,12,1
8,99,5,13,8,209,19,3,0
9,399,3,16,8,178,17,14,0
19,591,1,5,5,306,15,9,0
24,53,5,9,2,191,12,19,0
20,28,2,19,5,357,8,8,0
8,110,4,14,9,68,18,7,0
2,366,2,7,3,327,6,19,0
19,551,4,11,2,267,16,5,0
24,42,3,8,5,270,7,22,0
10,238,5,8,5,362,7,9,0
5,533,1,17,1,360,2,23,0
1,164,5,16,8,128,15,19,0
6,432,4,5,7,264,11,16,0
17,255,1,5,5,221,14,4,0
1,414,5,14,0,242,3,13,0
16,550,1,6,1,244,6,16,0
10,170,4,19,3,19,10,10,0
11,126,3,6,6,155,4,3,0
18,280,3,5,8,229,12,22,0
21,496,5,12,9,58,10,22,1
23,181,2,10,4,281,4,16,0
24,283,4,10,9,45,7,1,0
6,268,5,14,1,102,16,20,0
19,144,5,14,0,48,10,21,0
5,431,3,13,9,50,18,0,0
20,430,1,9,0,81,17,17,0
23,195,4,19,4,300,9,6,0
0,373,1,8,6,59,4,21,0
16,387,4,19,8,161,0,5,0
10,532,2,15,8,103,16,5,0
21,589,3,10,7,334,16,13,0
17,205,2,12,0,274,0,22,0
20,107,5,18,4,183,0,11,0
16,31,3,5,5,116,8,13,0
6,459,5,11,5,362,3,13,0
16,181,2,12,3,267,8,11,0
19,392,4,13,0,164,13,8,0
8,143,5,15,2,143,14,8,0
16,435,1,12,9,318,15,1,0
19,34,4,11,3,304,15,17,0
21,512,4,7,3,94,12,4,0
21,194,2,6,3,250,13,22,0
7,94,2,19,4,343,8,11,0
16,576,3,7,8,306,8,13,0
6,153,3,8,3,316,3,12,0
0,421,1,8,8,240,9,2,0
12,233,4,10,8,59,2,14,0
22,229,1,16,0,15,8,14,0
18,188,1,11,4,285,18,2,0
23,442,2,16,8,203,15,19,0
18,274,1,8,3,237,15,18,0
16,438,1,14,4,296,16,14,0
12,425,5,10,3,287,17,18,0
15,462,3,13,1,73,9,7,0
7,206,3,18,9,214,18,22,0
18,563,4,10,1,11,14,12,0
17,62,3,18,1,337,14,22,0
0,489,4,7,0,225,10,9,0
13,452,5,5,2,318,7,1,0
18,339,3,15,9,203,15,10,0
14,260,5,14,0,231,9,21,0
17,132,3,14,3,51,8,18,0
1,396,3,17,0,57,14,8,0
21,348,5,9,3,132,4,8,0
16,357,1,14,2,280,19,5,0
17,38,1,14,8,297,1,9,0
5,44,1,7,0,305,15,21,0
18,527,1,12,7,225,17,23,0
3,405,3,14,8,174,15,7,0
0,303,2,19,6,292,4,14,0
7,598,5,5,0,266,0,5,0
22,358,2,15,3,247,18,6,0
6,156,2,6,9,78,9,19,0
2,76,4,7,0,135,12,16,0
9,529,1,7,3,140,10,3,0
9,131,3,16,2,342,14,7,0
18,349,1,12,1,253,1,12,0
13,184,1,9,0,176,5,23,0
1,460,2,12,5,60,10,13,0
0,566,4,15,6,352,14,17,0
22,145,1,18,5,254,8,22,0
22,25,5,19,8,8,11,16,0
17,342,5,19,8,107,3,17,0
6,204,1,15,1,171,13,13,0
7,505,2,10,1,58,2,23,0
0,18,2,19,8,337,16,10,0
24,343,3,16,0,342,12,9,0
22,342,4,6,4,290,7,12,0
2,336,2,15,0,84,11,19,0
23,24,3,8,6,117,11,15,0
22,235,5,13,8,200,11,13,0
7,434,5,8,5,22,1,2,0
21,417,5,9,1,219,9,17,0
24,122,1,9,5,226,8,5,0
14,437,4,14,8,271,0,19,0
4,10,3,12,2,102,3,2,0
2,275,4,10,8,145,13,18,0
18,500,1,14,7,147,15,2,0
0,217,3,11,6,261,17,11,0
14,378,3,10,7,279,1,7,0
7,315,2,18,9,339,5,4,0
1,21,4,18,5,14,2,16,0
2,354,4,18,2,266,19,9,0
23,474,2,9,6,287,18,20,0
13,503,5,19,3,141,12,16,0
23,377,1,9,9,293,16,8,0
13,429,4,7,4,31,13,12,0
10,180,2,11,7,171,10,9,0
15,143,3,17,6,355,15,7,0
3,436,2,14,6,205,10,6,0
19,34,5,9,7,291,17,1,0
4,539,1,11,9,111,1,1,0
21,199,5,19,2,68,7,3,0
20,150,3,6,2,183,13,8,0
13,564,3,13,1,196,1,13,0
22,324,3,12,0,126,12,23,0
15,453,3,19,9,175,9,10,0
17,328,2,9,5,262,7,20,0
6,450,3,6,5,286,6,6,0
9,101,3,10,9,155,12,18,0
6,188,2,12,7,69,18,3,0
0,65,3,11,5,108,14,1,0
22,164,5,12,5,35,1,22,0
20,120,5,8,0,359,4,21,0
18,146,4,18,6,44,18,20,0
15,241,5,7,6,143,0,22,0
18,477,1,11,9,211,6,18,0
3,490,1,6,8,285,17,20,0
17,77,1,18,6,6,0,17,0
1,258,2,9,7,218,0,20,0
0,332,5,17,3,27,6,6,0
14,527,1,11,8,227,16,10,0
4,441,4,5,0,284,5,9,0
19,496,2,8,7,56,19,10,0
10,438,4,19,2,310,11,22,0
9,278,5,6,0,336,19,8,0
1,546,3,10,1,105,14,2,0
2,157,4,16,5,18,12,23,0
22,127,3,5,4,205,11,4,0
22,376,2,11,2,43,1,22,0
11,75,4,7,8,89,17,0,0
19,379,4,16,7,74,3,0,0
4,184,2,5,2,157,9,19,0
4,597,2,19,1,266,10,4,0
5,504,1,12,7,134,5,18,0
8,123,5,11,4,89,5,5,0
1,120,4,6,8,236,8,2,0
20,448,4,11,0,132,19,20,0
11,156,2,7,9,229,12,12,0
2,44,2,19,2,34,4,16,0
19,318,5,17,4,83,5,2,0
21,547,2,13,1,132,3,22,0
11,23,3,12,2,354,5,2,0
23,383,3,9,3,204,17,20,0
16,566,3,11,3,287,12,22,0
9,437,3,7,8,336,2,12,0
23,242,5,5,0,316,9,1,0
13,572,4,5,8,258,3,2,0
22,449,3,19,8,292,14,19,0
16,511,2,15,5,125,11,15,0
17,284,3,6,0,151,14,20,0
18,85,5,12,5,359,9,11,0
16,448,2,5,7,247,11,8,0
13,298,3,15,4,175,7,15,0
8,549,4,16,4,357,2,3,0
7,262,2,9,0,302,6,19,0
1,135,2,13,0,80,17,17,0
12,186,4,16,7,107,2,0,0
24,46,2,13,4,300,14,6,0
6,419,3,6,7,305,1,19,0
8,136,2,11,9,344,14,11,0
21,492,3,15,1,58,12,7,0
21,177,4,5,3,91,19,7,0
10,303,1,7,9,135,9,23,0
13,352,4,10,8,350,7,21,0
3,319,3,13,2,169,15,8,0
12,537,5,14,5,334,15,13,0
1,549,4,6,6,122,1,19,0
22,428,5,11,2,236,8,4,0
4,453,5,19,0,76,7,19,0
10,567,3,8,1,309,10,20,0
5,245,3,6,9,23,0,1,0
17,448,1,7,6,333,10,20,0
20,223,2,10,6,73,17,9,0
9,94,4,14,0,88,14,23,0
3,94,3,13,9,103,8,8,0
8,498,4,12,6,94,8,6,0
5,74,5,14,9,316,0,22,1
1,73,2,18,5,266,6,21,0
16,352,1,15,5,253,11,17,0
4,361,4,13,6,358,9,11,0
24,167,2,8,6,58,18,10,0
5,598,1,16,0,9,15,9,0
11,500,4,8,9,13,5,12,0
22,472,2,19,4,131,10,8,0
20,234,3,13,7,222,18,15,0
9,322,4,12,7,329,18,20,0
21,475,2,16,2,153,17,21,0
20,97,1,19,2,71,14,16,0
24,312,2,6,6,345,15,4,0
5,444,3,12,3,20,13,5,0
7,144,4,5,5,81,7,9,0
1,59,4,13,8,228,7,10,0
11,441,4,13,9,346,1,1,0
12,349,3,17,1,19,5,6,0
24,356,1,19,1,165,12,13,0
20,356,4,12,5,107,12,3,0
6,254,1,15,2,348,11,4,0
9,118,2,9,0,214,1,18,0
12,542,1,9,1,239,19,20,0
16,99,1,17,6,147,11,19,0
20,305,4,7,3,181,16,9,0
13,121,5,9,1,336,5,5,0
1,598,5,8,7,198,6,1,0
21,186,3,5,3,287,5,2,0
10,352,3,13,3,53,3,14,0
0,110,5,19,1,240,8,9,0
18,410,2,14,0,290,4,16,0
20,37,4,18,0,287,9,6,0
3,546,4,8,2,188,14,1,0
18,67,2,7,5,6,7,6,0
20,507,2,10,6,283,3,14,0
10,306,5,5,8,263,4,2,0
7,143,3,9,4,49,6,4,0
10,340,2,19,8,352,5,21,0
3,258,3,11,7,200,12,7,0
16,559,1,6,0,60,18,3,0
6,84,4,14,2,33,9,17,0
7,177,5,13,7,303,14,18,0
2,512,4,16,8,244,2,7,0
21,364,5,19,3,172,17,22,0
1,234,1,10,5,207,13,5,0
22,540,4,6,3,283,2,4,0
14,155,1,12,8,22,10,4,0
23,250,5,12,1,47,9,16,0
21,353,2,5,5,349,16,5,0
21,44,4,16,2,158,12,12,0
4,10,1,5,9,258,1,8,0
23,162,4,5,3,143,12,23,0
0,438,4,16,1,47,18,11,0
3,517,4,8,7,27,4,9,0
14,135,3,8,9,27,15,0,0
19,500,1,12,7,145,9,10,0
18,491,1,5,0,75,11,5,0
2,354,4,14,9,187,19,2,0
19,230,2,7,5,10,12,5,0
10,34,4,15,0,121,15,8,0
16,537,3,5,5,289,0,21,0
12,191,5,13,6,165,8,7,0
10,508,3,14,1,264,15,14,0
1,51,2,16,8,161,18,21,0
8,490,4,13,7,327,14,5,0
1,448,1,11,8,297,17,22,0
20,411,4,17,9,118,11,10,0
8,555,2,16,3,311,13,9,0
8,354,1,19,3,263,2,10,0
7,54,3,12,7,84,3,3,0
16,30,5,5,0,146,5,12,0
0,79,5,9,7,171,15,7,0
24,57,4,19,6,334,12,19,0
10,500,3,18,6,309,11,14,0
7,560,2,6,8,14,11,6,0
9,296,5,17,9,149,1,0,1
24,19,3,5,6,251,12,8,0
6,551,4,7,1,57,2,22,0
2,283,1,11,0,347,12,7,0
2,390,4,5,0,302,1,1,0
17,338,4,15,6,347,18,13,0
4,488,3,6,4,133,8,11,0
11,24,5,6,3,170,19,22,0
11,525,3,8,4,102,0,16,0
18,200,1,19,9,106,12,18,0
5,177,3,16,9,171,1,5,0
1,530,2,7,5,128,14,20,0
11,146,4,7,9,250,18,4,1
18,163,5,14,5,32,15,5,0
4,397,1,9,0,216,10,2,0
11,218,4,7,1,262,14,15,0
16,281,3,15,2,330,5,17,0
16,152,2,11,3,244,13,13,0
9,78,3,9,5,285,5,14,0
24,256,4,8,8,290,18,3,0
22,270,1,16,1,263,4,10,0
16,88,5,7,7,337,10,4,0
14,534,4,19,8,333,3,8,0
11,339,1,16,1,314,8,4,0
15,198,4,8,8,85,8,6,0
23,104,2,18,6,329,16,17,0
18,17,3,19,8,45,7,17,0
7,76,5,16,5,303,14,19,0
20,505,1,6,1,333,8,23,0
16,200,5,5,7,200,4,1,0
22,375,5,7,9,201,3,22,1
4,530,5,15,8,329,19,12,0
21,126,1,6,7,168,17,12,0
15,276,1,5,1,240,8,16,0
5,494,5,5,7,286,2,21,0
7,518,3,6,2,190,8,16,0
24,307,4,17,2,71,8,5,0
17,173,5,17,8,145,3,13,0
